Ortsname;Sämann;Sohn;VaterUnser;Matth13;Probe;Jahr;Orthographie;X;Y;Quelle;Kommentar;Informant;Herkunft
Uddel;;x;;;;1870;niederländisch;52.2332774;5.7629135;Winkler;;A. Aarsen;
Nijkerk;;x;;;;1870;niederländisch;52.2190296;5.4317447;Winkler;;J. J. Smits;
Scherpenzeel;;x;;;;1870;niederländisch;52.0903357;5.4784002;Winkler;;G. Overeem;
Dinxperlo;;x;;;;1870;niederländisch;51.865037;6.479548;Winkler;;J. van Dijk;
Varseveld;;x;;;;1871;niederländisch;51.9452932;6.4494325;Winkler;;;
Winterswijk;;x;;;;1871;niederländisch;51.9710562;6.6776236;Winkler;;T. Knuivers;
Zutfen;;x;;;;1870;niederländisch;52.1293682;6.1667104;Winkler;;Mr. D. Nijman;
Soest;;x;;;;1871;niederländisch;51.574586;7.99734;Winkler;;E. de Jong;
Utrecht;;x;;;;1872;niederländisch;52.0842635;5.0000917;Winkler;;;
Utrecht;;x;;;;1871;niederländisch;52.0842636;5.0000918;Winkler;;L. Gerhardt;
Oldenzaal;;x;;;;1870;niederländisch;52.3083838;6.8756032;Winkler;;Mr. A. A. W. van Wulfften Palthe;
Deventer;;x;;;;1870;niederländisch;52.2489695;6.157259;Winkler;;Mr. H. Houck;
Zwolle;;x;;;;1870;niederländisch;52.5143065;6.024598;Winkler;;;
Zwartsluis;;x;;;;1871;niederländisch;52.6343025;6.0290499;Winkler;;J. Beckering Vinckers;
Meppel;;x;;;;1870;niederländisch;52.7115991;6.157788;Winkler;;H. Mulder;
Zweelo;;x;;;;1870;niederländisch;51.2159759;6.7545933;Winkler;;A. L. Lesturgeon;
Sellingen;;x;;;;1870;niederländisch;52.9406047;7.0488253;Winkler;;J. U. H. Sijpkens;
Oldambt;;x;;;;1870;niederländisch;53.1890861;6.9830103;Winkler;;P. Penon;
Woltersum;;x;;;;1871;niederländisch;53.2754495;6.7077167;Winkler;;P. Adriani Hoen;
Ulrum;;x;;;;1870;niederländisch;53.3584421;6.3159696;Winkler;;J. G. Busch Keiser;
Groningen;;x;;;;1870;niederländisch;53.2217493;6.524494;Winkler;;Mr. S. Reynders;
Den Ham;;x;;;;1871;niederländisch;52.4641122;6.4980436;Winkler;;W. J. Koppius;
Grijpskerk;;x;;;;1871;niederländisch;53.2701913;6.2670829;Winkler;;Herr Dijksterhuis;
Friesland;;x;;;;;Friesisch;53.5485198;7.3845865;Winkler;;;
Workum;;x;;;;1871;Friesisch;52.9734926;5.3976102;Winkler;;H. Brandenburgh;
Hindeloopen;;x;;;;1871;Friesisch;52.93635;5.3745417;Winkler;;N. D. Kroese;
Schiermonnikoog;;x;;;;1871;niederländisch;53.4856886;6.1712684;Winkler;;;
Leeuwarden;;x;;;;1872;niederländisch;53.2003581;5.7773048;Winkler;;;
Dokkum;;x;;;;1870;niederländisch;53.3226352;5.9774251;Winkler;;;
Bolsward;;x;;;;1870;niederländisch;53.0636465;5.5034071;Winkler;;;
Nes op ´t Ameland;;x;;;;1870;niederländisch;53.4468756;5.7376928;Winkler;;J. Roorda;
Het Bildt;;x;;;;1870;niederländisch;53.2816251;5.5615554;Winkler;;Herr Waling Dijkstra;
Noordwolde;;x;;;;1870;niederländisch;52.8873044;6.1100103;Winkler;;J. Frederiks;
Wester-Schelling;;x;;;;1871;niederländisch;53.3761114;5.1298616;Winkler;;Herr Tekele Rein´s Zwaal;
Ooster-Schelling;;x;;;;1871;niederländisch;53.3680823;5.1923248;Winkler;;Herr Iemke C. Ruige;
Midslands;;x;;;;1871;niederländisch;53.3952707;5.2574653;Winkler;;K. J. Lieuwen;
Flieland;;x;;;;1870;niederländisch;53.2561466;4.9159773;Winkler;;J. Kooy;
Texel;;x;;;;1870;niederländisch;53.0731568;4.6137491;Winkler;;D. Dekker;
Wieringen;;x;;;;1870;niederländisch;52.900012;4.9597003;Winkler;;R. Wijn;
Schagen;;x;;;;1870;niederländisch;52.7842902;4.7465849;Winkler;;;
Benningbroek;;x;;;;1870;niederländisch;52.7094765;5.0107964;Winkler;;C. Mink;
Enkhuizen;;x;;;;1870;niederländisch;52.7155812;5.2399068;Winkler;;T. Knuivers;
Hoorn;;x;;;;1871;niederländisch;52.6470944;5.042948;Winkler;;;
Urk;;x;;;;1870;niederländisch;52.6661049;5.602835;Winkler;;K. Koffeman;
Marken;;x;;;;1870;niederländisch;43.3276314;12.3915601;Winkler;;C. de Groot Cz.;
Holijsloot;;x;;;;1870;niederländisch;52.41338;5.015374;Winkler;;D. de Wit Hz.;
Zaankant;;x;;;;1870;niederländisch;52.4134687;4.9432739;Winkler;;J. Honig Jz. Jr.;
Heemskerk;;x;;;;1870;niederländisch;52.5091239;4.6189829;Winkler;;L. F. Tuyl Schuitemaker;
Egmond aan Zee;;x;;;;1870;niederländisch;52.6244759;4.6202703;Winkler;;A. J. Gantvoort;
Zandvoort;;x;;;;1870;niederländisch;52.3810988;4.5362574;Winkler;;J. van der Heyden;
Haarlem;;x;;;;1870;niederländisch;52.383839;4.6078594;Winkler;;Dr. H. Weyenberh;
Haarlem;;x;;;;1870;niederländisch;52.383839;4.6078594;Winkler;;Dr. H. Weyenberh;
Amsterdam;;x;;;;1870;niederländisch;52.3547498;4.8339211;Winkler;;J. ter Gouw;
Laren;;x;;;;1870;niederländisch;52.24257;5.1821693;Winkler;;Joh. Van Wulfen;
Huizen;;x;;;;1870;niederländisch;52.2921137;5.2044463;Winkler;;P. Beemsterboer;
Woubrugge;;x;;;;1871;niederländisch;52.17472;4.6275485;Winkler;;P. H. Spijker;
Leiden;;x;;;;1871;niederländisch;52.1517843;4.4466505;Winkler;;J. A. van Dijk;
Katwijk aan Zee;;x;;;;1871;niederländisch;52.1941121;4.3363612;Winkler;;J. Kneppelhout;
Scheveningen;;x;;;;1870;niederländisch;52.104279;4.2494572;Winkler;;T. de Jager;
Gravenhage;;x;;;;1871;niederländisch;52.071739;4.239829;Winkler;;W. J. van Zeggelen;
Gravenzande;;x;;;;1870;niederländisch;51.994058;4.1344326;Winkler;;A. de Vletter;
Groot-Ammers;;x;;;;1871;niederländisch;51.9187841;4.8303987;Winkler;;H. A. Vermeulen;
Gorinchem;;x;;;;1870;niederländisch;51.842377;4.9589727;Winkler;;P. van Zutphen;
Rotterdam;;x;;;;1870;niederländisch;51.9280712;4.4207888;Winkler;;Dr. A. Jager;
Vlaardingen;;x;;;;1871;niederländisch;51.9227868;4.2855858;Winkler;;P. K. Drossaart;
